treatment_combinations,p20,p19,p18,p17,p16,p_unf,sig
twothirds_1.5,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1,1
twothirds_1,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1,1
twothirds_.5,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1,1
onehalf_1.5,1.5859225e-35,.12130021,1.5859225e-35,1.5859225e-35,1.5859225e-35,.87869978,1
onehalf_1,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1,1
onehalf_.5,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1.8048513e-35,1,1
fourthirds_1.5,.19200005,1.4583198e-35,1.4583198e-35,1.4583198e-35,1.4583198e-35,.80799997,1
fourthirds_1,.4041,1.0755110e-35,1.0755110e-35,1.0755110e-35,1.0755110e-35,.5959,1
fourthirds_.5,.3536,1.1666560e-35,1.1666560e-35,1.1666560e-35,1.1666560e-35,.64640003,1
