treatment_combinations,tau,lambda
1/2_1.5,0.32193875,5.32E-11
1/2_1,0.07608366,0.040950947
1/2_.5,0,0
2/3_1.5,2.31868,0.01840058
2/3_1,2.3186803,1.1638337
2/3_.5,2.31868,0.99049062
4/3_1.5,0.3830044,1.1880655
4/3_1,0.242245,0.03827548
4/3_.5,0.268165,0.03827548
